"EM","AR","last_yr_early_em","first_yr_full_em","last_yr_full_em","first_yr_recent_em","max_bias_adj_em"
"True","-0.25",-0.864183157894737,18.2358831578947,78.78596,79.7371031578947,0.954729473684211
"Zero","-0.25",-0.588684,18.363379,78.794715,79.586967,0.954531
"Internal","-0.25",-4.18789101123595,18.6006775280899,78.4139101123595,80.6136797752809,0.957789887640449
"External","-0.25",-1.13266913580247,18.2734395061728,78.754949382716,79.7427543209877,0.955197530864198
"True"," 0.00",-0.761721,18.407659,78.781884,79.594416,0.954865
"Zero"," 0.00",-0.761721,18.407659,78.781884,79.594416,0.954865
"Internal"," 0.00",-2.92501267605634,18.8328323943662,78.5677225352113,80.0599802816901,0.956361971830986
"External"," 0.00",-0.984641095890411,18.4634328767123,78.7431109589041,79.6298068493151,0.955342465753425
"True"," 0.25",-1.83014891304348,18.4569282608696,78.6491054347826,79.8620239130435,0.955466304347826
"Zero"," 0.25",-0.596764,18.241119,78.831626,79.548523,0.955008
"Internal"," 0.25",-7.49305,19.266185106383,78.2813882978723,80.6953765957447,0.957772340425532
"External"," 0.25",-1.98996823529412,18.4724117647059,78.6597388235294,79.8389529411765,0.955651764705882
"True"," 0.50",-5.98731919191919,19.2179545454545,78.3070535353535,80.4744787878788,0.958242424242424
"Zero"," 0.50",-0.640163265306122,18.3682836734694,78.8356948979592,79.5085918367347,0.955852040816327
"Internal"," 0.50",-20.2682373737374,20.4886797979798,77.7026797979798,82.3703838383838,0.961779797979798
"External"," 0.50",-5.5413585106383,19.1674212765957,78.3831255319149,80.3744755319149,0.957895744680851
"True"," 0.75",-20.168282,20.356938,77.673763,82.421246,0.962775
"Zero"," 0.75",-0.537621428571429,18.0883581632653,78.8262255102041,79.5412163265306,0.9563
"Internal"," 0.75",-70.9377040816327,21.9709275510204,76.2524826530612,89.9431142857143,0.969669387755102
"External"," 0.75",-14.9008757575758,19.8523262626263,77.9087464646465,81.7274808080808,0.961135353535354
"True"," 0.90",-68.0650295918367,22.6184591836735,76.4576265306122,88.1236510204082,0.969933673469388
"Zero"," 0.90",-0.503966666666667,18.0049510416667,78.8238416666667,79.6052104166667,0.957029166666667
"Internal"," 0.90",-98.0001083333333,13.9869333333333,75.1251291666667,107.5145375,0.9757875
"External"," 0.90",-31.892151,20.831725,77.418927,83.790275,0.964768
